<BOND>
   1   1   2 CO-CO
  89  21   1   2  22 HP-CO-CO-HP
  90  21   1   2  23 HP-CO-CO-HP
  91  21   1   4  26 HP-CO-CO-HP
  92  21   1   4  27 HP-CO-CO-HP
  93  22   2   3  24 HP-CO-CO-HP
  94  22   2   3  25 HP-CO-CO-HP
  95  23   2   3  24 HP-CO-CO-HP
  96  23   2   3  25 HP-CO-CO-HP
  97  24   3   5  28 HP-CO-CO-HP
  98  24   3   5  29 HP-CO-CO-HP
  99  25   3   5  28 HP-CO-CO-HP
 100  25   3   5  29 HP-CO-CO-HP
 101  26   4   6  30 HP-CO-CO-HP
 102  26   4   6  31 HP-CO-CO-HP
 103  27   4   6  30 HP-CO-CO-HP
 104  27   4   6  31 HP-CO-CO-HP
 105  28   5   7  32 HP-CO-CO-HP
 106  28   5   7  33 HP-CO-CO-HP
 107  29   5   7  32 HP-CO-CO-HP
 108  29   5   7  33 HP-CO-CO-HP
 109  30   6   8  34 HP-CO-CO-HP
 110  30   6   8  35 HP-CO-CO-HP
 111  31   6   8  34 HP-CO-CO-HP
 112  31   6   8  35 HP-CO-CO-HP
 113  32   7   9  36 HP-CO-CO-HP
 114  32   7   9  37 HP-CO-CO-HP
 115  33   7   9  36 HP-CO-CO-HP
 116  33   7   9  37 HP-CO-CO-HP
 117  34   8  10  38 HP-CO-CO-HP
 118  34   8  10  39 HP-CO-CO-HP
 119  35   8  10  38 HP-CO-CO-HP
 120  35   8  10  39 HP-CO-CO-HP
 121  36   9  11  40 HP-CO-CO-HP
 122  36   9  11  41 HP-CO-CO-HP
 123  37   9  11  40 HP-CO-CO-HP
 124  37   9  11  41 HP-CO-CO-HP
 125  38  10  12  42 HP-CO-CO-HP
 126  38  10  12  43 HP-CO-CO-HP
 127  39  10  12  42 HP-CO-CO-HP
 128  39  10  12  43 HP-CO-CO-HP
 129  40  11  13  44 HP-CO-CO-HP
 130  40  11  13  45 HP-CO-CO-HP
 131  41  11  13  44 HP-CO-CO-HP
 132  41  11  13  45 HP-CO-CO-HP
 133  42  12  14  46 HP-CO-CO-HP
 134  42  12  14  47 HP-CO-CO-HP
 135  43  12  14  46 HP-CO-CO-HP
 136  43  12  14  47 HP-CO-CO-HP
 137  44  13  15  48 HP-CO-CO-HP
 138  44  13  15  49 HP-CO-CO-HP
 139  45  13  15  48 HP-CO-CO-HP
 140  45  13  15  49 HP-CO-CO-HP
 141  46  14  16  50 HP-CO-CO-HP
 142  46  14  16  51 HP-CO-CO-HP
 143  47  14  16  50 HP-CO-CO-HP
 144  47  14  16  51 HP-CO-CO-HP
 145  48  15  17  52 HP-CO-CS-HP
 146  48  15  17  53 HP-CO-CS-HP
 147  49  15  17  52 HP-CO-CS-HP
 148  49  15  17  53 HP-CO-CS-HP
 149  50  16  18  54 HP-CP-CO-HP
 150  50  16  18  55 HP-CP-CO-HP
 151  50  16  18  56 HP-CP-CO-HP
 152  51  16  18  54 HP-CP-CO-HP
 153  51  16  18  55 HP-CP-CO-HP
 154  51  16  18  56 HP-CP-CO-HP
 155  52  17  19  57 HP-CS-SS-HS
 156  53  17  19  57 HP-CS-SS-HS

<END>
